site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
02118000	SOUTH YADKIN RIVER NEAR MOCKSVILLE, NC	02	00060	2014-10-03 21:00:00	EDT	129		2014-10-03 21:04:07
02118500	HUNTING CREEK NEAR HARMONY, NC	01	00060	2014-10-03 20:30:00	EDT	78		2014-10-03 20:49:07
02120780	SECOND CREEK NEAR BARBER, NC	01	00060	2014-10-03 21:00:00	EDT	29		2014-10-03 21:06:04
02121500	ABBOTTS CREEK AT LEXINGTON, NC	04	00060	2014-10-03 21:30:00	EDT	12		2014-10-03 21:35:17
0212393300	W. BR ROCKY R B MTH OF S PRONG R NR CORNELIUS, NC	02	00060	2014-10-03 20:35:00	EDT	15		2014-10-03 20:47:08
02124080	CLARKE CREEK NEAR HARRISBURG, NC	02	00060	2014-10-03 21:20:00	EDT	6.5		2014-10-03 21:26:03
0212414900	MALLARD CR BL STONY CR NR HARRISBURG, NC	02	00060	2014-10-03 21:30:00	EDT	4.5		2014-10-03 21:36:05
0212419274	CODDLE CR AT SR 1612 NEAR DAVIDSON, NC	02	00060	2014-10-03 21:00:00	EDT	6.7		2014-10-03 21:06:04
02124269	BACK CR AT SR1173 NEAR HARRISBURG, NC	02	00060	2014-10-03 21:15:00	EDT	0.00		2014-10-03 21:20:03
0212430293	REEDY CREEK BELOW I-485 NR PINE RIDGE, NC	02	00060	2014-10-03 20:35:00	EDT	1.9		2014-10-03 20:47:08
0212430653	MCKEE CREEK AT SR2804 NR WILGROVE, NC	02	00060	2014-10-03 20:35:00	EDT	0.95		2014-10-03 20:47:08
0212433550	ROCKY R AB IRISH BUFFALO CR NR ROCKY RIVER, NC	02	00060	2014-10-03 21:15:00	EDT	55		2014-10-03 21:30:04
0212466000	CLEAR CREEK AT SR3181 NR MINT HILL, NC	02	00060	2014-10-03 20:45:00	EDT	1.5		2014-10-03 20:49:07
0212467451	GOOSE CR AT SR1524 NEAR INDIAN TRAIL, NC	02	00060	2014-10-03 21:15:00	EDT	2.8		2014-10-03 21:20:03
0212467595	GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC	02	00060	2014-10-03 21:30:00	EDT	5.3		2014-10-03 21:36:05
02124692	GOOSE CR AT FAIRVIEW, NC	02	00060	2014-10-03 21:15:00	EDT	1.8		2014-10-03 21:28:03
02126000	ROCKY RIVER NEAR NORWOOD, NC	02	00060	2014-10-03 21:00:00	EDT	162		2014-10-03 21:06:04
02128000	LITTLE RIVER NEAR STAR, NC	01	00060	2014-10-03 20:45:00	EDT	6.1		2014-10-03 20:58:02
02129000	PEE DEE R NR ROCKINGHAM, NC	02	00060	2014-10-03 21:00:00	EDT	5660		2014-10-03 21:08:03
02132320	BIG SHOE HEEL CREEK NR LAURINBURG, NC	02	00060	2014-10-03 20:45:00	EDT	40		2014-10-03 20:50:04
02133500	DROWNING CREEK NEAR HOFFMAN, NC	03	00060	2014-10-03 21:00:00	EDT	112		2014-10-03 21:10:03
02133624	LUMBER RIVER NEAR MAXTON, NC	02	00060	2014-10-03 21:00:00	EDT	230		2014-10-03 21:10:03
02134170	LUMBER RIVER AT LUMBERTON, NC	02	00060	2014-10-03 20:45:00	EDT	372		2014-10-03 21:00:04
02134480	BIG SWAMP NR TAR HEEL, NC	02	00060	2014-10-03 21:00:00	EDT	49		2014-10-03 21:12:03
02134500	LUMBER RIVER AT BOARDMAN, NC	02	00060	2014-10-03 21:00:00	EDT	563		2014-10-03 21:06:04
02137727	CATAWBA R NR PLEASANT GARDENS, NC	01	00060	2014-10-03 20:45:00	EDT	179		2014-10-03 20:52:04
02138500	LINVILLE RIVER NEAR NEBO, NC	01	00060	2014-10-03 20:45:00	EDT	61		2014-10-03 20:54:04
02138520	CATAWBA R AT SR1223 BL LK JAMES NR BRIDGEWATER, NC	11	00060	2014-10-03 21:15:00	EDT	196		2014-10-03 21:30:04
02140991	JOHNS RIVER AT ARNEYS STORE, NC	02	00060	2014-10-03 21:15:00	EDT	246		2014-10-03 21:20:03
02142000	LOWER LITTLE RIVER NR ALL HEALING SPRINGS, NC	01	00060	2014-10-03 20:30:00	EDT	25		2014-10-03 20:47:08
02142654	MCDOWELL CREEK NR HUNTERSVILLE, NC	02	00060	2014-10-03 21:25:00	EDT	16		2014-10-03 21:30:04
0214265808	TORRENCE CR AT BRADFORD HILL LN NR HUNTERSVLLE, NC	02	00060	2014-10-03 20:40:00	EDT	1.7		2014-10-03 20:49:07
0214266000	MCDOWELL CREEK NR CHARLOTTE, NC (CSW10)	02	00060	2014-10-03 20:50:00	EDT	8.7		2014-10-03 20:54:04
0214266080	GAR CREEK AT SR2074 NR CROFT, NC	02	00060	2014-10-03 21:05:00	EDT	0.62		2014-10-03 21:10:03
0214269560	KILLIAN CREEK NEAR MARIPOSA, NC	02	00060	2014-10-03 21:15:00	EDT	26		2014-10-03 21:28:03
02142900	LONG CREEK NEAR PAW CREEK, NC	01	00060	2014-10-03 20:45:00	EDT	2.3		2014-10-03 20:52:04
02142914	GUM BRANCH NEAR THRIFT, NC	02	00060	2014-10-03 21:30:00	EDT	1.3		2014-10-03 21:38:04
0214291555	LONG CREEK NR RHYNE, NC	02	00060	2014-10-03 21:25:00	EDT	4.3		2014-10-03 21:35:17
0214295600	PAW CR AT WILKINSON BLVD NR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	1.7		2014-10-03 21:36:05
0214297160	BEAVERDAM CREEK AB WINDY GAP ROAD NR SHOPTON, NC	02	00060	2014-10-03 21:30:00	EDT	0.08		2014-10-03 21:36:05
02143000	HENRY FORK NEAR HENRY RIVER, NC	01	00060	2014-10-03 21:30:00	EDT	55		2014-10-03 21:40:03
02143040	JACOB FORK AT RAMSEY, NC	02	00060	2014-10-03 21:30:00	EDT	27		2014-10-03 21:36:05
02143500	INDIAN CREEK NEAR LABORATORY, NC	02	00060	2014-10-03 21:00:00	EDT	43		2014-10-03 21:04:07
02144000	LONG CREEK NEAR BESSEMER CITY, NC	01	00060	2014-10-03 21:30:00	EDT	11		2014-10-03 21:38:04
02145000	SOUTH FORK CATAWBA RIVER AT LOWELL, NC	02	00060	2014-10-03 21:15:00	EDT	353		2014-10-03 21:35:17
02146211	IRWIN CR AT STATESVILLE AVE AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.90		2014-10-03 21:38:04
0214627970	STEWART CREEK AT STATE ST AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	6.5		2014-10-03 21:38:04
02146285	STEWART CREEK AT WEST MOREHEAD ST AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	7.1		2014-10-03 21:38:04
02146300	IRWIN CREEK NEAR CHARLOTTE, NC	01	00060	2014-10-03 21:30:00	EDT	12		2014-10-03 21:36:05
02146315	TAGGART CREEK AT WEST BOULEVARD NR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	1.0		2014-10-03 21:36:05
02146348	COFFEY CREEK NR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.88		2014-10-03 21:38:04
02146381	SUGAR CREEK AT NC 51 NEAR PINEVILLE, NC	02	00060	2014-10-03 21:30:00	EDT	29		2014-10-03 21:38:04
02146409	LTL SUGAR CR AT MEDICAL CENTER DR AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	5.7		2014-10-03 21:36:05
